title,description,link

"DostRider","Ride Sharing System - a Mini Booking System.","https://github.com/murali-bandaru/RideSharingApp"
"ShopiCart","Shopping Cart System - cost your cart ","https://github.com/murali-bandaru/ShoppingCartApp"

TensorFlow,End-to-end open-source machine learning platform,https://github.com/tensorflow/tensorflow
PyTorch,Deep learning framework by Meta AI,https://github.com/pytorch/pytorch
Scikit-learn,Machine learning library for Python,https://github.com/scikit-learn/scikit-learn
Keras,High-level neural network API,https://github.com/keras-team/keras
Hugging Face Transformers,Library for NLP models like BERT and GPT,https://github.com/huggingface/transformers
LangChain,Framework for building LLM-powered applications,https://github.com/langchain-ai/langchain
Whisper,Speech recognition model by OpenAI,https://github.com/openai/whisper
OpenAI GPT-2,Open-source large language model,https://github.com/openai/gpt-2
AutoGPT,Autonomous GPT-4 experiment using Python,https://github.com/Torantulino/Auto-GPT
ChatGPT Web UI,ChatGPT-style frontend built with React,https://github.com/mckaywrigley/chatbot-ui
LlamaIndex,Data framework for building with LLMs,https://github.com/jerryjliu/llama_index
DeepFace,Face recognition and analysis library for Python,https://github.com/serengil/deepface
YOLOv8,Object detection and tracking framework by Ultralytics,https://github.com/ultralytics/ultralytics
OpenCV,Computer vision library,https://github.com/opencv/opencv
FastAI,High-level deep learning library built on PyTorch,https://github.com/fastai/fastai
Detectron2,Facebook AI’s object detection platform,https://github.com/facebookresearch/detectron2
Stable Diffusion,Text-to-image diffusion model,https://github.com/CompVis/stable-diffusion
DeepSpeed,Deep learning optimization library from Microsoft,https://github.com/microsoft/DeepSpeed
Diffusers,Hugging Face library for diffusion models,https://github.com/huggingface/diffusers
OpenMMLab,Modular deep learning framework for computer vision,https://github.com/open-mmlab
Mediapipe,Google’s cross-platform ML framework for perception,https://github.com/google/mediapipe
Triton,AI model compiler from OpenAI,https://github.com/openai/triton
Albumentations,Image augmentation library for ML,https://github.com/albumentations-team/albumentations
Pandas,Data manipulation library for Python,https://github.com/pandas-dev/pandas
Numpy,Fundamental package for numerical computing,https://github.com/numpy/numpy
Matplotlib,2D plotting library for Python,https://github.com/matplotlib/matplotlib
Seaborn,Statistical data visualization in Python,https://github.com/mwaskom/seaborn
Plotly,Interactive graphing library for Python and JavaScript,https://github.com/plotly/plotly.py
Bokeh,Interactive visualization library for Python,https://github.com/bokeh/bokeh
Streamlit,Framework for data science web apps,https://github.com/streamlit/streamlit
Gradio,Build ML model interfaces easily,https://github.com/gradio-app/gradio
Weights & Biases,Experiment tracking and ML visualization tool,https://github.com/wandb/client
Kaggle Datasets,Collection of public data for ML and analytics,https://www.kaggle.com/datasets
Pinecone,Vector database for AI applications,https://github.com/pinecone-io
FAISS,Facebook’s library for similarity search and clustering,https://github.com/facebookresearch/faiss
DeepSpeed Examples,Examples using Microsoft DeepSpeed,https://github.com/microsoft/DeepSpeedExamples
Open Assistant,Conversational AI powered by open-source community,https://github.com/LAION-AI/Open-Assistant
DeepLabCut,Animal pose estimation using deep learning,https://github.com/DeepLabCut/DeepLabCut
Label Studio,Open-source data labeling tool,https://github.com/HumanSignal/label-studio
Great Expectations,Data validation and pipeline testing framework,https://github.com/great-expectations/great_expectations
MLflow,Open-source platform for managing ML lifecycles,https://github.com/mlflow/mlflow
DataHub,Metadata management platform for data teams,https://github.com/datahub-project/datahub
Feast,Feature store for machine learning,https://github.com/feast-dev/feast
ClearML,Open-source MLOps suite,https://github.com/allegroai/clearml
Airflow,Workflow automation and scheduling system by Apache,https://github.com/apache/airflow
Jupyter Notebook,Interactive data science environment,https://github.com/jupyter/notebook
ColabCode,Colab-like environment for VSCode,https://github.com/abhishekkrthakur/colabcode
DVC,Data version control for ML projects,https://github.com/iterative/dvc
MLPerf,Machine learning benchmark suite,https://github.com/mlcommons/training
Awesome-Machine-Learning,Curated list of ML frameworks,https://github.com/josephmisiti/awesome-machine-learning

React,JavaScript library for building user interfaces,https://github.com/facebook/react
Next.js,Full-stack React framework for web apps,https://github.com/vercel/next.js
